,Datetime,GBPUSD,EURUSD
1993,2024-09-05 16:00:00+00:00,1.317401647567749,1.1103708744049072
1994,2024-09-05 17:00:00+00:00,1.3179571628570557,1.110987663269043
1995,2024-09-05 18:00:00+00:00,1.3170719146728516,1.1106175184249878
1996,2024-09-05 19:00:00+00:00,1.3170371055603027,1.1106175184249878
1997,2024-09-05 20:00:00+00:00,1.3179919719696045,1.1114816665649414
1998,2024-09-05 21:00:00+00:00,1.3181482553482056,1.1112345457077026
1999,2024-09-05 22:00:00+00:00,1.317627191543579,1.1112345457077026
2000,2024-09-05 23:00:00+00:00,1.3177313804626465,1.1113580465316772
2001,2024-09-06 00:00:00+00:00,1.3178876638412476,1.111605167388916
2002,2024-09-06 01:00:00+00:00,1.317748785018921,1.1113580465316772
2003,2024-09-06 02:00:00+00:00,1.3177834749221802,1.1114816665649414
2004,2024-09-06 03:00:00+00:00,1.3177661895751953,1.1118524074554443
2005,2024-09-06 04:00:00+00:00,1.317905068397522,1.1119760274887085
2006,2024-09-06 05:00:00+00:00,1.3178876638412476,1.1119760274887085
2007,2024-09-06 06:00:00+00:00,1.3188958168029785,1.1123470067977905
2008,2024-09-06 07:00:00+00:00,1.3182872533798218,1.1118524074554443
2009,2024-09-06 08:00:00+00:00,1.3168290853500366,1.1120996475219727
2010,2024-09-06 09:00:00+00:00,1.3175578117370605,1.111605167388916
2011,2024-09-06 10:00:00+00:00,1.3168463706970215,1.110987663269043
2012,2024-09-06 11:00:00+00:00,1.3178702592849731,1.1111111640930176
2013,2024-09-06 12:00:00+00:00,1.3211086988449097,1.1124708652496338
2014,2024-09-06 13:00:00+00:00,1.3168290853500366,1.1086474657058716
2015,2024-09-06 14:00:00+00:00,1.3159799575805664,1.1104941368103027
2016,2024-09-06 15:00:00+00:00,1.313094139099121,1.1088933944702148
2017,2024-09-06 16:00:00+00:00,1.3120776414871216,1.108033299446106
2018,2024-09-06 17:00:00+00:00,1.313266634941101,1.1087703704833984
2019,2024-09-06 18:00:00+00:00,1.3135771751403809,1.1088933944702148
2020,2024-09-06 19:00:00+00:00,1.3133183717727661,1.109139323234558
2021,2024-09-06 20:00:00+00:00,1.3131458759307861,1.1088933944702148
2022,2024-09-06 21:00:00+00:00,1.313042402267456,1.1088933944702148
2023,2024-09-08 23:00:00+00:00,1.3131976127624512,1.1090162992477417
2024,2024-09-09 00:00:00+00:00,1.3130769729614258,1.1086474657058716
2025,2024-09-09 01:00:00+00:00,1.313628911972046,1.1085245609283447
2026,2024-09-09 02:00:00+00:00,1.3133183717727661,1.1084016561508179
2027,2024-09-09 03:00:00+00:00,1.313094139099121,1.1082788705825806
2028,2024-09-09 04:00:00+00:00,1.3121120929718018,1.1079105138778687
2029,2024-09-09 05:00:00+00:00,1.3115785121917725,1.1071745157241821
2030,2024-09-09 06:00:00+00:00,1.3104099035263062,1.1068068742752075
2031,2024-09-09 07:00:00+00:00,1.3105645179748535,1.1061947345733643
2032,2024-09-09 08:00:00+00:00,1.308832049369812,1.1050944328308105
2033,2024-09-09 09:00:00+00:00,1.3091061115264893,1.1060723066329956
2034,2024-09-09 10:00:00+00:00,1.3079931735992432,1.1043622493743896
2035,2024-09-09 11:00:00+00:00,1.3087291717529297,1.1047282218933105
2036,2024-09-09 12:00:00+00:00,1.308284044265747,1.1041183471679688
2037,2024-09-09 13:00:00+00:00,1.3094661235809326,1.1049723625183105
2038,2024-09-09 14:00:00+00:00,1.3078734874725342,1.1044842004776
2039,2024-09-09 15:00:00+00:00,1.308249831199646,1.1044842004776
2040,2024-09-09 16:00:00+00:00,1.3097747564315796,1.1052166223526
2041,2024-09-09 17:00:00+00:00,1.3084723949432373,1.1047282218933105
2042,2024-09-09 18:00:00+00:00,1.3078391551971436,1.1046061515808105
2043,2024-09-09 19:00:00+00:00,1.3073091506958008,1.1041183471679688
2044,2024-09-09 20:00:00+00:00,1.3073604106903076,1.1038745641708374
2045,2024-09-09 21:00:00+00:00,1.307497262954712,1.1039965152740479
2046,2024-09-09 22:00:00+00:00,1.3073433637619019,1.1041183471679688
